Address,Suburb,Prices,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",latitude,longitude,num_stops,num_stations,num_schools,num_restaurants,num_landmarks,total_transport
"39 Durham Crescent, 
HOPPERS CROSSING VIC 3029",HOPPERS CROSSING,450.0,37666.0,4420.4,74.1,25272.0,0.0,0.0,193.0,157.0,63.0,174.0,47.0,96.0,17.0,18.0,11732.0,1105.0,1123.0,681.0,3309.0,228.0,884.0,-37.8725625,144.6867955,0.0,0.0,11.0,0.0,0.0,0.0
"7/1 Mabel Street, 
IVANHOE VIC 3079",IVANHOE,450.0,12561.0,2487.4,40.9,8357.0,0.0,0.0,27.0,190.0,68.0,41.0,28.0,68.0,3.0,35.0,2911.0,1189.0,1529.0,440.0,1505.0,16.0,343.0,-37.7618963,145.0294366,0.0,0.0,13.0,0.0,0.0,0.0
"2/59 Green Street, 
IVANHOE VIC 3079",IVANHOE,450.0,12561.0,2487.4,40.9,8357.0,0.0,0.0,27.0,190.0,68.0,41.0,28.0,68.0,3.0,35.0,2911.0,1189.0,1529.0,440.0,1505.0,16.0,343.0,-37.7647315,145.0356549,0.0,0.0,12.0,0.0,0.0,0.0
"104/15 Ivanhoe Parade, 
IVANHOE VIC 3079",IVANHOE,450.0,12561.0,2487.4,40.9,8357.0,0.0,0.0,27.0,190.0,68.0,41.0,28.0,68.0,3.0,35.0,2911.0,1189.0,1529.0,440.0,1505.0,16.0,343.0,-37.7678707,145.0447225,0.0,1.0,11.0,0.0,0.0,1.0
"63 Dunne Street, 
KINGSBURY VIC 3083",KINGSBURY,450.0,10564.0,1172.6,34.0,7808.0,0.0,0.0,53.0,69.0,21.0,45.0,19.0,43.0,3.0,8.0,2381.0,831.0,1250.0,369.0,1285.0,120.0,382.0,-37.7140559,145.0373638092353,0.0,0.0,8.0,0.0,0.0,0.0
"29 Tandarra Crescent, 
LALOR VIC 3075",LALOR,450.0,23663.0,4579.1,75.1,15020.0,0.0,0.0,121.0,74.0,31.0,96.0,17.0,79.0,7.0,42.0,7707.0,515.0,572.0,716.0,2182.0,154.0,648.0,-37.6640187,145.0139611,0.0,1.0,12.0,0.0,0.0,1.0
"12 Julie Court, 
LANGWARRIN VIC 3910",LANGWARRIN,450.0,25248.0,671.1,38.4,16450.0,0.0,0.0,64.0,83.0,48.0,96.0,26.0,32.0,5.0,47.0,8037.0,1431.0,25.0,365.0,1530.0,49.0,151.0,-38.1439109,145.2084568,0.0,0.0,0.0,0.0,0.0,0.0
"8/18 Johnstone Street, 
MALVERN VIC 3144",MALVERN,450.0,22221.0,2936.7,38.2,14931.0,0.0,0.0,25.0,320.0,184.0,122.0,54.0,103.0,0.0,105.0,4789.0,2224.0,2731.0,421.0,2540.0,205.0,746.0,-37.867502,145.0350359,3.0,0.0,12.0,0.0,0.0,3.0
"22 Campbell Street, 
FRANKSTON VIC 3199",FRANKSTON,2100.0,62521.0,4843.5,121.2,39777.0,0.0,0.0,455.0,371.0,155.0,218.0,76.0,176.0,12.0,68.0,21147.0,4743.0,1416.0,1096.0,8000.0,650.0,751.0,-38.1446007,145.1430832,0.0,0.0,10.0,0.0,0.0,0.0
"1584 Boneo Road, 
FLINDERS VIC 3929",FLINDERS,2150.0,6021.0,21.0,56.2,3295.0,0.0,0.0,3.0,46.0,44.0,35.0,18.0,59.0,0.0,79.0,3864.0,25.0,30.0,424.0,246.0,13.0,12.0,-38.4593041,144.9035822,0.0,0.0,0.0,0.0,0.0,0.0
"84 Toorak Road West, 
SOUTH YARRA VIC 3141",SOUTH YARRA,2200.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,-37.83751,144.9799798,11.0,0.0,12.0,73.0,11.0,11.0
"14 Godfrey Crescent, 
DANDENONG VIC 3175",DANDENONG,620.0,54169.0,5306.299999999999,105.8,35871.0,0.0,0.0,207.0,259.0,263.0,438.0,69.0,331.0,24.0,110.0,12152.0,5534.0,2756.0,992.0,7356.0,1157.0,1364.0,-37.9741505,145.2151626,0.0,0.0,10.0,0.0,0.0,0.0
"603/628 Flinders Street, 
DOCKLANDS VIC 3008",DOCKLANDS,650.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"3515/628 Flinders Street, 
DOCKLANDS VIC 3008",DOCKLANDS,650.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"405/1 Point Park Crescent, 
DOCKLANDS VIC 3008",DOCKLANDS,620.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,-37.8240463,144.9419455,2.0,0.0,4.0,229.0,13.0,2.0
"4006/628 Flinders Street, 
DOCKLANDS VIC 3008",DOCKLANDS,620.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,,0.0,0.0,0.0,0.0,0.0,0.0
"2901/231 Harbour Esplanade, 
DOCKLANDS VIC 3008",DOCKLANDS,620.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,,0.0,0.0,0.0,0.0,0.0,0.0
